Row;GTIN;Name;Last updated;GTIN Label
1;7300000000004;Not found;-;-
2;7300000003982;Not found;-;-
3;7300000090005;Not found;-;-
4;7300000090104;Not found;-;-
5;7300000090203;Not found;-;-
6;7300000091002;Not found;-;-
7;7300000091101;Not found;-;-
8;7300000091200;Not found;-;-
9;7300000091309;Not found;-;-
10;7300000091408;Not found;-;-
11;7300000093006;Not found;-;-
12;7300000093105;Not found;-;-
13;7300000093204;Not found;-;-
14;7300000093303;Not found;-;-
15;7300000093402;Not found;-;-
16;7300000093501;Not found;-;-
17;7300000093600;Not found;-;-
18;7300000097004;Not found;-;-
19;7300000097103;Not found;-;-
20;7300000097202;Not found;-;-
21;7300000097301;Not found;-;-
22;7300000097400;Not found;-;-
23;7300000098001;Not found;-;-
24;7300000098100;Not found;-;-
25;7300000098209;Not found;-;-
26;7300000098254;Not found;-;-
27;7300000098407;Not found;-;-
28;7300000098452;Not found;-;-
29;7300000098506;Not found;-;-
30;7300000098605;Not found;-;-
31;7300000302009;Not found;-;-
32;7300000304003;Not found;-;-
33;7300000500702;Not found;-;-
34;7300008194842;Not found;-;-
35;7300009001446;;Broken at gs1.se;()
36;7300009004911;Not found;-;-
37;7300009005222;Not found;-;-
38;7300009007547;Upsala Handelsförening;Last updated: 2015-11-24;(GLN: 7300009007547, GCP: 7300009 00754)
39;7300009012299;Not found;-;-
40;7300009012701;Not found;-;-
41;7300009018055;;Broken at gs1.se;()
42;7300009022502;Not found;-;-
43;7300009022601;Not found;-;-
44;7300009040674;Not found;-;-
45;7300009042234;;Broken at gs1.se;()
46;7300009047666;Not found;-;-
47;7300009048984;;Broken at gs1.se;()
48;7300009050758;Not found;-;-
49;7300009112074;Not found;-;-
50;7300009116249;Not found;-;-
51;7300009117598;Not found;-;-
52;7300009119059;Not found;-;-
53;7300009119325;Not found;-;-
54;7300009119936;Not found;-;-
55;7300009123070;Not found;-;-
56;7300009128471;Not found;-;-
57;7300009129058;Not found;-;-
58;7300009129065;Not found;-;-
59;7300009129072;Not found;-;-
60;7300009129096;Not found;-;-
61;7300009135127;Not found;-;-
62;7300009138333;Not found;-;-
63;7300009141180;Not found;-;-
64;7300009161041;Not found;-;-
65;7300009161058;Not found;-;-
66;7300009161072;Not found;-;-
67;7300009161096;Not found;-;-
68;7300009171521;Not found;-;-
69;7300009200375;Not found;-;-
70;7300009235223;Not found;-;-
71;7300009235254;Not found;-;-
72;7300009236008;Not found;-;-
73;7300009253203;Not found;-;-
74;7300009253210;Not found;-;-
75;7300009253265;Not found;-;-
76;7300009253272;Not found;-;-
77;7300009253289;Not found;-;-
78;7300009261024;Not found;-;-
79;7300009261321;Not found;-;-
80;7300009261765;Not found;-;-
81;7300009263042;Not found;-;-
82;7300009263165;Not found;-;-
83;7300009281442;Not found;-;-
84;7300009281503;Not found;-;-
85;7300009281640;Not found;-;-
86;7300009281664;Not found;-;-
87;7300009281749;Not found;-;-
88;7300009284641;Not found;-;-
89;7300009286065;Not found;-;-
90;7300009289110;Not found;-;-
91;7300009289189;Not found;-;-
92;7300009289196;Not found;-;-
93;7300009289301;Not found;-;-
94;7300009291205;Not found;-;-
95;7300009292257;Not found;-;-
96;7300009292264;Not found;-;-
97;7300009293919;Not found;-;-
98;7300009295012;Not found;-;-
99;7300009301614;Not found;-;-
100;7300009302369;Not found;-;-
101;7300009303274;Not found;-;-
102;7300009303281;Not found;-;-
103;7300009303328;Not found;-;-
104;7300009304943;Not found;-;-
105;7300009304950;Not found;-;-
106;7300009304967;Not found;-;-
107;7300009304974;Not found;-;-
108;7300009305117;Not found;-;-
109;7300009310913;Not found;-;-
110;7300009310937;Not found;-;-
111;7300009310944;Not found;-;-
112;7300009312399;Not found;-;-
113;7300009312528;Not found;-;-
114;7300009312580;Not found;-;-
115;7300009312597;Not found;-;-
116;7300009312726;Not found;-;-
117;7300009312733;Not found;-;-
118;7300009312740;Not found;-;-
119;7300009312818;Not found;-;-
120;7300009312900;Not found;-;-
121;7300009312917;Not found;-;-
122;7300009312924;Not found;-;-
123;7300009313020;Not found;-;-
124;7300009313037;Not found;-;-
125;7300009313112;Not found;-;-
126;7300009313143;Not found;-;-
127;7300009320103;Not found;-;-
128;7300009320165;Not found;-;-
129;7300009322039;Not found;-;-
130;7300009322138;Not found;-;-
131;7300009322145;Not found;-;-
132;7300009322183;Not found;-;-
133;7300009322220;Not found;-;-
134;7300009322374;Not found;-;-
135;7300009322480;Not found;-;-
136;7300009324057;Not found;-;-
137;7300009324309;Not found;-;-
138;7300009324422;Not found;-;-
139;7300009324651;Not found;-;-
140;7300009324675;Not found;-;-
141;7300009324958;Not found;-;-
142;7300009325009;Not found;-;-
143;7300009336562;Not found;-;-
144;7300009351381;Not found;-;-
145;7300009351534;Not found;-;-
146;7300009351589;Not found;-;-
147;7300009352593;Not found;-;-
148;7300009406104;Not found;-;-
149;7300009406128;Not found;-;-
150;7300009406173;Not found;-;-
151;7300009406319;Not found;-;-
152;7300009406364;Not found;-;-
153;7300009406401;Not found;-;-
154;7300009406487;Not found;-;-
155;7300009406531;Not found;-;-
156;7300009414758;Not found;-;-
157;7300009415663;Not found;-;-
158;7300009416202;Not found;-;-
159;7300009416264;Not found;-;-
160;7300009416288;Not found;-;-
161;7300009416301;Not found;-;-
162;7300009416325;Not found;-;-
163;7300009416363;Not found;-;-
164;7300009417063;Not found;-;-
165;7300009417155;Not found;-;-
166;7300009417193;Not found;-;-
167;7300009417209;Not found;-;-
168;7300009417223;Not found;-;-
169;7300009417230;Not found;-;-
170;7300009417247;Not found;-;-
171;7300009417605;Not found;-;-
172;7300009418725;Not found;-;-
173;7300009418893;Not found;-;-
174;7300009419593;Not found;-;-
175;7300009419715;Not found;-;-
176;7300009419722;Not found;-;-
177;7300009419906;Not found;-;-
178;7300009424047;Not found;-;-
179;7300009424108;Not found;-;-
180;7300009433001;Not found;-;-
181;7300009438006;Not found;-;-
182;7300009466658;Not found;-;-
183;7300009466726;Not found;-;-
184;7300009466740;Not found;-;-
185;7300009466887;Not found;-;-
186;7300009467228;Not found;-;-
187;7300009467242;Not found;-;-
188;7300009467815;Not found;-;-
189;7300009490776;Not found;-;-
190;7300009491377;Not found;-;-
191;7300009494057;Not found;-;-
192;7300009494293;Not found;-;-
193;7300009495436;Not found;-;-
194;7300009500499;Not found;-;-
195;7300009502189;Not found;-;-
196;7300009502196;Not found;-;-
197;7300009505289;Not found;-;-
198;7300009506743;Not found;-;-
199;7300009506767;Not found;-;-
200;7300009506774;Not found;-;-
201;7300009506781;Not found;-;-
202;7300009507009;Not found;-;-
